;Schw. (hp);wl_lett;wl_syll;one_syll;more_syll;long_w;lh_ran;lh_freq;lh_infr;lh_inv;lh_100;lhsw_ran;lhsw_freq;lhsw_lnfr;lhsw_inv;lhsw_100;wh_ran;wh_freq;wh_lnfr;wh_100;whsw_ran;whsw_freq;whsw_lnfr;whsw_100;rr_10;rr_25;rr_30;rr_40;rr_50;rr_60;rr_75;rr_80;rr_85;rr_90;ttr;ttr_sq;ttr_hd;ttrsw;ttrsw_sq;ttrsw_hd;i/f;f/i;i/w;f/w;L;R;nr;vr;nstv;fvr;ivr;fir;syn;lnsyn;synsw;lnsynsw;syn500;1sg;2sg;3sg;1pl;2pl;3pl;n3;prs;imperf;perf;pqp;fut1;fut2;nprs;nprprf;ind;sub;imp;nind;act;pass;nom;gen;dat;acc;abl;lem;ana;mult_lem;kon;pr_w;pr_n;pr_s;pr12_w;pr12_n;pr12_s;prpo_w;prpo_n;prpo_s;prps_w;prps_n;prps_s;kr_2;kr_3;kr_all;krn_2;krn_3;krn_all;sim_wn;sim_wup;lsa;lsa_2;sl;cl;v1w;v1s;ovs;ovw;svoc;svow;wvps;wvpw;depl;tu;stw;stt;stn;nsw;nst;nss;fnsw;fnst;fnss;fnsns;haa;hga;haga;haw;hgw;hagw;haha;hghg;haghag;vH_w;vH_H;ch;verschr. RS;R+K;R+I;R. SA;Sup I;Sup II;Ger. ohne esse;Ger. prädik.;Gerundium;ind. Rede;AcI;NcI;hist. Inf.;Inf.-Konstr.;ind. FS;quin-S.;fakt. quod;Komp. S.;Kond. S.;cum + K;cum + I;Konzessiv S.;Konsek. S.;Temp. S.;Final S.;Kausal S.;Konj. HS;Attr. Part.;Abl. Abs.;PC;Prädikativum;Dat. fin.;Abl. comp.;Gen. qual.;Abl. qual.;Dat. auct.;Dat. poss.;Imp.;Passiv;Ellipse;LEF;Anzahl SE;differente SE;Rel.sätze;nd-Formen;Infinitive;NS;Part.;Kasus;SE_optimum;**lex. Variablen ohne Anmerkungen**;wl_lett;wl_syll;one_syll;more_syll;long_w;lh_ran;lh_freq;lh_infr;lh_inv;lh_100;lhsw_ran;lhsw_freq;lhsw_lnfr;lhsw_inv;lhsw_100;wh_ran;wh_freq;wh_lnfr;wh_100;whsw_ran;whsw_freq;whsw_lnfr;whsw_100;rr_10;rr_25;rr_30;rr_40;rr_50;rr_60;rr_75;rr_80;rr_85;rr_90;ttr;ttr_sq;ttr_hd;ttrsw;ttrsw_sq;ttrsw_hd;i/f;f/i;i/w;f/w;L;R;nr;vr;nst;fvr;ivr;fir;syn;lnsyn;synsw;lnsynsw;syn500;**Genre etc.**;Genre_1;Genre_2;Narrativität;Inhalt
Text_35;4,448;5,893;2,533;0,269;0,477;0,492;231,147;10990,909;7,302;0,248;2,878;370,538;1457,202;5,657;0,245;4,092;338,508;5046,523;5,743;3,873;518,429;241,908;3,742;5,496;0,437;0,36;0,305;0,249;0,203;0,168;0,102;0,086;0,066;0,020;0,66;9,262;0,921;0,866;9,442;0,97;1,526;0,655;0,604;0,396;133,233;0,943;0,274;0,162;0,593;0,132;0,076;0,634;10,254;1,294;6,563;0,833;3,665;0,032;0;0,839;0;0;0,129;0,032;0,533;0,3;0,1;0,067;0;0;0,467;0,367;0,567;0,433;0;0,433;0,833;0,167;0,064;0,149;0;0,298;0,489;1,426;3,122;0,305;0,056;0,168;0,635;3,3;0,005;0,019;0,1;0,03;0,115;0,6;0,051;0,192;1;0,03;0,041;0,076;0,025;0,03;0,051;0,53;0,666;0,369;0,47;20;5,324;0,05;0,1;0,038;0,05;0;0;3,9;0,195;4,253;12,313;13,198;1,625;1,238;10,660;1,313;2,100;8,122;1,000;1,600;0,762;0,508;0,000;0,508;1,523;0,000;1,523;3,000;0,000;3,000;0,000;0,000;3,046;0,000;0,010;0,005;0,000;0,000;0,000;0,000;0,000;0,000;0,020;0,000;0,000;0,000;0,010;0,020;0,000;0,020;0,000;0,005;0,000;0,000;0,000;0,020;0,005;0,015;0,000;0,000;0,000;0,010;0,015;0,000;0,000;0,000;0,000;0,005;0,000;0,000;0,000;0,020;0,000;0,000;0,162;14;0,035;0,000;0,079;0,197;0,053;0,011;0,039;;5,836;2,508;0,272;0,472;0,487;233,518;11103,636;7,377;0,251;2,908;376,872;1482,111;5,753;0,248;4,162;341,979;5098,282;5,802;3,913;527,291;246,043;3,806;5,59;0,441;0,364;0,308;0,251;0,205;0,169;0,103;0,087;0,067;0,021;0,656;9,166;0,92;0,863;9,337;0,969;1,5;0,667;0,6;0,4;131,233;0,942;0,272;0,164;0,604;0,133;0,077;0,634;10,354;1,308;6,626;0,841;3,692;;Prosa;Geschichtsschreibung;informativ;Staat
Text_36;1,068;6,049;2,681;0,184;0,503;0,564;287,362;8447,153;6,518;0,539;3,442;376,656;1425,566;5,384;0,537;4,238;400,571;3368,718;4,924;4,417;505,73;288,402;3,692;5,377;0,546;0,405;0,374;0,294;0,27;0,233;0,166;0,160;0,123;0,067;0,767;9,791;0,948;0,852;9,416;0,967;2,976;0,336;0,748;0,252;127,819;0,945;0,333;0,117;0,352;0,074;0,098;0,429;11,81;1,443;9,061;1,07;3,847;0,095;0,048;0,762;0;0;0,095;0,143;0,095;0,619;0,143;0,095;0;0,048;0,905;0,762;0,857;0,143;0;0,143;0,857;0,143;0,354;0,125;0;0,167;0,354;1,472;3,785;0,319;0,104;0,092;0,294;1,25;0,006;0,02;0,083;0,012;0,039;0,167;0,006;0,02;0,083;0,018;0,018;0,098;0,012;0,006;0,043;0,31;0,411;0,136;0,536;10,867;7,409;0;0;0,077;0,061;0;0;3,6;0,331;2,959;10,867;4,908;0,533;1,143;4,294;0,467;0,467;3,681;0,400;0,400;0,857;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,613;0,000;0,012;0,000;0,006;0,000;0,000;0,000;0,000;0,025;0,000;0,000;0,000;0,000;0,018;0,000;0,006;0,000;0,012;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,006;0,000;0,000;0,000;0,006;0,000;0,000;0,000;0,000;0,012;0,000;0,006;0,000;0,012;0,000;0,000;0,110;11;0,048;0,068;0,033;0,063;0,013;0,040;0,178;;5,846;2,577;0,192;0,481;0,545;259,006;8824,814;6,667;0,316;3,154;343,626;1510,47;5,517;0,313;3,896;383,276;3519,385;5,067;4,256;488,67;305,287;3,811;5,217;0,526;0,378;0,346;0,263;0,237;0,199;0,128;0,122;0,083;0,032;0,756;9,448;0,945;0,843;9,045;0,964;2,805;0,357;0,737;0,263;120,819;0,942;0,314;0,128;0,408;0,083;0,09;0,481;12,192;1,463;9,321;1,074;3,974;;Prosa;Geschichtsschreibung;deskriptiv;Charakterisierung
Text_37;5,733;5,856;2,428;0,171;0,471;0,54;488,604;7370,947;5,544;6,414;5,439;604,926;827,349;4,411;6,411;6,523;529,326;5032,332;4,022;5,631;651,389;128,725;2,688;6,752;0,642;0,626;0,594;0,567;0,535;0,497;0,401;0,364;0,316;0,257;0,85;11,627;0,969;0,953;11,633;0,99;3,921;0,255;0,797;0,203;168,874;0,92;0,481;0,091;0,189;0,075;0,08;0,483;17,176;1,534;12,722;1,163;2,765;0,056;0;0,833;0;0,056;0,056;0,111;0;0,235;0,529;0,235;0;0;1;0,471;1;0;0;0;1;0;0,359;0,128;0,064;0,244;0,205;1,439;3,754;0,316;0,112;0,059;0,134;1,375;0,005;0,012;0,125;0;0;0;0,011;0,024;0,25;0,011;0,021;0,021;0,005;0,016;0,016;0,826;1,21;0,066;0,835;25;9,350;0,1;0,25;0,118;0,1;0;0;2;0,08;4,891;15,583;4,278;0,667;1,000;4,278;0,667;1,000;3,743;0,583;0,875;0,875;6,417;0,000;6,417;6,952;0,000;6,952;1,083;0,000;1,083;0,000;0,000;3,209;0,000;0,000;0,005;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,016;0,011;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,005;0,000;0,016;0,000;0,027;0,000;0,005;0,005;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,091;8;0,008;0,000;0,029;0,068;0,095;0,000;0,000;;5,658;2,335;0,203;0,437;0,506;463,253;8291,006;6,173;3,162;5,209;594,711;1001,95;5,015;3,159;6,438;522,684;5936,032;4,524;5,608;667,14;155,165;3,068;6,942;0,627;0,608;0,570;0,544;0,513;0,468;0,354;0,323;0,272;0,209;0,829;10,422;0,963;0,942;10,364;0,988;3,27;0,306;0,766;0,234;140,874;0,904;0,443;0,108;0,243;0,083;0,089;0,481;16,405;1,56;11,19;1,135;3,013;;Poesie;Epos;deskriptiv;Beschreibung
Text_38;1,883;5,868;2,485;0,199;0,478;0,537;268,184;9360,449;7,2;0,422;3,279;394,778;1411,222;5,896;0,419;4,444;392,132;3612,735;5,471;4,375;561,456;223,378;3,878;5,956;0,522;0,375;0,346;0,301;0,25;0,199;0,125;0,110;0,081;0,044;0,75;8,746;0,941;0,9;8,538;0,977;1,957;0,511;0,662;0,338;104,301;0,948;0,341;0,145;0,426;0,118;0,103;0,533;15,279;1,367;12,029;0,929;4;0;0;0,611;0;0;0,389;0;0,056;0,556;0,389;0;0;0;0,944;0,556;0,667;0,333;0;0,333;0,889;0,111;0,097;0,129;0;0,355;0,419;1,537;3,978;0,397;0,096;0,147;0,571;2,5;0;0;0;0;0;0;0,074;0,286;1,25;0,007;0,037;0,059;0;0,022;0,044;0,248;0,343;0,083;0,776;14,2;4,533;0,07;0,1;0,125;0,141;0;0;7,8;0,549;3,28;12,364;21,324;2,636;1,526;13,971;1,727;1,900;5,147;0,636;0,700;0,368;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;2,206;0,000;0,015;0,007;0,000;0,000;0,000;0,000;0,000;0,000;0,022;0,029;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,007;0,000;0,000;0,000;0,000;0,015;0,000;0,000;0,000;0,007;0,000;0,051;0,015;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,007;0,169;9;0,051;0,000;0,110;0,046;0,162;0,000;0,040;;5,557;2,348;0,217;0,426;0,487;219,713;10345,4;7,492;0,288;2,8;342,746;1607,944;6,108;0,284;3,915;360,678;3637,139;5,79;4,087;544,873;238,803;4,105;5,817;0,47;0,313;0,287;0,243;0,191;0,139;0,07;0,061;0,052;0,017;0,713;7,647;0,929;0,873;7,358;0,968;1,614;0,62;0,617;0,383;84,301;0,935;0,325;0,145;0,447;0,087;0,078;0,526;16,896;1,391;13,348;0,904;4,035;;Prosa;Geschichtsschreibung;narrativ;Krieg
Text_39;2,686;5,938;2,522;0,242;0,478;0,489;324,034;7230,787;6,695;0,994;3,792;440,425;1042,654;5,561;0,990;4,85;428,635;4060,635;4,938;4,713;562,591;255,882;3,437;5,921;0,601;0,444;0,416;0,371;0,298;0,264;0,191;0,152;0,124;0,079;0,747;9,969;0,944;0,858;9,672;0,968;2,49;0,402;0,713;0,287;134,479;0,958;0,341;0,123;0,361;0,084;0,101;0,455;21,36;1,475;17,876;1,072;3,449;0;0;0,375;0;0;0,625;0;0,125;0,688;0,125;0,062;0;0;0,875;0,75;0,875;0,125;0;0,125;0,812;0,188;0,137;0,118;0;0,294;0,451;1,461;3,455;0,326;0,073;0,112;0,37;1,429;0;0;0;0,017;0,056;0,214;0,017;0,056;0,214;0,056;0,084;0,09;0,028;0,034;0,045;0,402;0,54;0,357;0,814;12,857;5,742;0;0;0;0;0;0;4,214;0,328;3,187;11,867;9,551;1,133;1,063;8,989;1,067;1,143;2,247;0,267;0,286;0,250;1,124;1,124;2,247;1,124;1,124;2,247;1,000;1,000;1,000;0,000;0,000;1,124;0,000;0,006;0,006;0,000;0,000;0,000;0,000;0,011;0,000;0,022;0,011;0,000;0,000;0,011;0,000;0,000;0,000;0,000;0,000;0,006;0,000;0,000;0,000;0,000;0,000;0,006;0,000;0,006;0,011;0,045;0,006;0,000;0,000;0,000;0,000;0,006;0,000;0,000;0,006;0,000;0,000;0,152;14;0,024;0,026;0,105;0,022;0,145;0,011;0,052;;5,815;2,464;0,256;0,458;0,464;311,464;7638,131;6,899;0,983;3,685;429,305;1118,585;5,777;0,979;4,754;430,351;4281,565;5,137;4,75;572,068;275,059;3,634;6,034;0,601;0,435;0,405;0,357;0,28;0,244;0,167;0,131;0,101;0,071;0,738;9,567;0,941;0,847;9,206;0,965;2,36;0,424;0,702;0,298;125,479;0,955;0,321;0,119;0,37;0,083;0,101;0,452;19,69;1,474;16,012;1,051;3,601;;Prosa;Geschichtsschreibung;narrativ;Leid
Text_40;2,165;5,557;2,359;0,26;0,365;0,422;299,573;8370,188;6,802;0,778;3,557;422,656;1439,687;5,485;0,773;4,679;411,651;4216,177;5,093;4,547;559,183;249,275;3,455;5,885;0,484;0,385;0,359;0,323;0,292;0,266;0,198;0,182;0,141;0,083;0,734;10,176;0,941;0,885;10,135;0,975;2,148;0,466;0,682;0,318;147,561;0,93;0,24;0,177;0,739;0,146;0,062;0,7;14,656;1,356;12,891;1,122;3,521;0,024;0,476;0,405;0;0;0,095;0,5;0,714;0,071;0,095;0,024;0,071;0,024;0,286;0,19;0,762;0,238;0;0,238;0,905;0,095;0,2;0,225;0;0,275;0,3;1,427;3,141;0,312;0,057;0,224;1,075;2,389;0,078;0,375;0,833;0,016;0,075;0,167;0,062;0,3;0,667;0,021;0,016;0,078;0,005;0,005;0,047;0,249;0,317;0,26;0,529;9,8;4,465;0,357;0,35;0,111;0,204;0;0;2,9;0,296;2,523;8,727;15,104;1,318;1,381;10,938;0,955;1,050;8,333;0,727;0,800;0,762;1,563;0,521;2,083;1,563;0,521;2,083;1,000;1,000;1,000;0,000;0,000;2,083;0,000;0,005;0,021;0,005;0,000;0,000;0,000;0,010;0,000;0,000;0,016;0,000;0,000;0,005;0,010;0,000;0,005;0,010;0,010;0,005;0,005;0,010;0,000;0,000;0,005;0,000;0,000;0,010;0,000;0,010;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,005;0,000;0,005;0,146;17;0,058;0,024;0,032;0,149;0,049;0,000;0,080;;5,256;2,222;0,278;0,329;0,386;261,778;8874,534;7,008;0,326;3,182;376,402;1566,265;5,678;0,321;4,214;387,33;4380,017;5,286;4,318;536,744;272,094;3,604;5,675;0,449;0,347;0,318;0,284;0,25;0,222;0,148;0,131;0,085;0,051;0,722;9,573;0,937;0,88;9,522;0,973;1,983;0,504;0,665;0,335;133,561;0,923;0,227;0,176;0,775;0,147;0,062;0,703;13,017;1,272;11,21;1,033;3,585;;Prosa;Philosophie;systematisch;Leid
Text_41;2,691;4,989;2,045;0,246;0,268;0,363;334,648;8529,553;5,982;1,77;3,855;439,239;770,179;4,659;1,768;4,784;422,045;3657,022;4,472;4,609;538,56;152,575;3,034;5,679;0,547;0,453;0,436;0,397;0,352;0,302;0,201;0,162;0,128;0,056;0,81;10,838;0,959;0,925;10,712;0,984;2,978;0,336;0,749;0,251;149,342;0,95;0,369;0,162;0,439;0,117;0,078;0,6;15,961;1,265;13,844;0,964;3,173;0,133;0;0,767;0,033;0;0,067;0,167;0,433;0,167;0,3;0,067;0,033;0;0,567;0,267;0,733;0,267;0;0,267;0,933;0,067;0,328;0,155;0,017;0,362;0,138;1,520;3,453;0,369;0,078;0,101;0,295;1,385;0,028;0,082;0,385;0,017;0,049;0,231;0,022;0,066;0,308;0,017;0,011;0,056;0,017;0,006;0,028;0,252;0,348;0,258;0,744;14;5,774;0,055;0,077;0,087;0,11;0,174;0,22;1,154;0,082;3,006;7,783;5,028;0,391;1,125;4,469;0,348;0,615;3,352;0,261;0,462;0,750;8,380;2,793;11,173;18,436;3,911;22,346;2,200;1,400;2,000;0,000;0,000;2,793;0,000;0,000;0,017;0,000;0,000;0,000;0,000;0,006;0,000;0,000;0,000;0,000;0,000;0,011;0,000;0,000;0,000;0,000;0,006;0,000;0,006;0,000;0,000;0,000;0,006;0,000;0,017;0,017;0,006;0,000;0,011;0,000;0,000;0,000;0,000;0,000;0,006;0,000;0,006;0,000;0,000;0,106;12;0,025;0,013;0,020;0,035;0,084;0,011;0,013;;4,925;2,023;0,253;0,259;0,351;325,569;8771,287;6,073;1,575;3,77;431,047;795,488;4,731;1,573;4,705;416,057;3761,902;4,564;4,557;535;158,209;3,103;5,651;0,54;0,443;0,425;0,385;0,345;0,293;0,19;0,149;0,115;0,046;0,805;10,613;0,958;0,922;10,477;0,983;2,867;0,349;0,741;0,259;144,342;0,948;0,374;0,155;0,415;0,121;0,069;0,636;13,006;1,261;10,828;0,951;3,207;;Poesie;Elegie;informativ;Krieg
Text_42;4,147;5,939;2,482;0,228;0,411;0,503;367,802;8588,858;6,479;1,54;4,234;508,186;864,436;5,127;1,537;5,529;425,254;5136,98;5,059;4,665;580,986;196,129;3,428;6,093;0,579;0,523;0,482;0,431;0,365;0,315;0,254;0,208;0,162;0,117;0,792;11,115;0,956;0,914;10,818;0,982;2,456;0,407;0,711;0,289;160,756;0,947;0,374;0,101;0,27;0,076;0,096;0,441;21,35;1,502;17,147;1,018;2,888;0;0;0,778;0;0;0,222;0;0,278;0,333;0,333;0,056;0;0;0,722;0,389;0,833;0,167;0;0,167;0,833;0,167;0,22;0,136;0,051;0,254;0,339;1,482;3,848;0,360;0,147;0,096;0,297;2,111;0;0;0;0,005;0,016;0,111;0,01;0,031;0,222;0,015;0,015;0,056;0,01;0,01;0,046;0,398;0,567;0,149;0,711;20;6,567;0,05;0,1;0,067;0,05;0;0;7,8;0,39;3,616;16,417;14,213;2,333;1,556;9,137;1,500;1,800;5,076;0,833;1,000;0,556;1,015;0,000;1,015;1,523;0,000;1,523;1,500;0,000;1,500;0,000;0,000;0,000;0,000;0,005;0,025;0,000;0,000;0,000;0,000;0,000;0,005;0,000;0,010;0,000;0,000;0,000;0,000;0,005;0,000;0,005;0,000;0,000;0,000;0,005;0,000;0,005;0,000;0,005;0,000;0,030;0,000;0,020;0,005;0,000;0,005;0,000;0,000;0,000;0,000;0,000;0,005;0,020;0,000;0,132;15;0,052;0,014;0,015;0,059;0,134;0,012;0,042;;5,684;2,333;0,249;0,362;0,463;342,395;9338,158;6,881;1,004;3,994;490,058;986,975;5,537;1,001;5,355;415,706;5505,203;5,438;4,599;587,975;225,537;3,77;6,19;0,565;0,503;0,458;0,407;0,333;0,277;0,22;0,169;0,124;0,079;0,774;10,298;0,951;0,901;9,909;0,978;2,161;0,463;0,684;0,316;141,756;0,94;0,362;0,107;0,297;0,074;0,102;0,419;23,401;1,597;18,729;1,058;2,96;;Prosa;Geschichtsschreibung;narrativ;Staat
Text_43;1,458;5,463;2,304;0,28;0,407;0,439;228,075;11356,654;7,071;0,925;2,869;359,718;1314,115;5,309;0,922;4,023;339,841;4749,822;5,561;3,902;500,107;223,145;3,578;5,359;0,411;0,294;0,276;0,248;0,224;0,192;0,121;0,089;0,051;0,028;0,664;9,707;0,924;0,87;9,96;0,971;1,578;0,634;0,612;0,388;147,584;0,937;0,238;0,201;0,843;0,145;0,07;0,674;15,916;1,236;13,528;0,879;2,944;0,262;0;0,357;0,024;0,048;0,31;0,333;0,525;0,075;0,225;0,075;0,1;0;0,475;0,25;0,725;0,275;0;0,275;0,9;0,1;0,279;0,14;0,023;0,279;0,279;1,374;2,855;0,294;0,112;0,173;0,755;2,312;0,033;0,143;0,438;0,005;0,02;0,062;0,037;0,163;0,5;0,009;0,037;0,079;0,005;0,019;0,047;0,34;0,425;0,184;0,603;13,438;5,487;0,14;0,188;0,033;0,047;0,033;0,047;5,062;0,377;3,302;9,727;7,944;0,773;1,000;7,944;0,773;1,063;6,542;0,636;0,875;0,824;1,869;0,000;1,869;2,804;0,000;2,804;1,500;0,000;1,500;0,000;0,000;0,467;0,000;0,014;0,028;0,000;0,000;0,000;0,000;0,009;0,000;0,000;0,009;0,000;0,000;0,014;0,005;0,000;0,000;0,000;0,009;0,005;0,000;0,000;0,000;0,005;0,000;0,000;0,009;0,000;0,000;0,000;0,005;0,000;0,000;0,000;0,000;0,005;0,000;0,000;0,005;0,000;0,014;0,117;13;0,081;0,021;0,039;0,054;0,012;0,009;0,069;;5,464;2,303;0,28;0,406;0,436;227,431;11517,507;7,148;0,935;2,867;361,742;1343,898;5,396;0,931;4,047;341,512;4816,739;5,617;3,924;506,617;227,359;3,624;5,43;0,412;0,294;0,275;0,246;0,223;0,190;0,118;0,085;0,052;0,028;0,659;9,569;0,922;0,867;9,811;0,971;1,542;0,648;0,607;0,393;144,584;0,935;0,238;0,2;0,84;0,148;0,071;0,674;16,133;1,254;13,711;0,892;2,972;;Prosa;Rede;informativ;Rhetorik
Text_44;3,652;5,905;2,579;0,179;0,526;0,558;282,132;8256,826;6,984;0,478;3,379;363,417;1790,826;6,086;0,475;4,104;432,016;3326,926;5,137;4,753;543,097;296,535;4,02;5,778;0,584;0,368;0,347;0,305;0,268;0,232;0,137;0,079;0,042;0,021;0,737;10,157;0,942;0,833;10;0,963;3,13;0,319;0,758;0,242;141,479;0,963;0,374;0,121;0,324;0,105;0,074;0,588;22,068;1,542;20,147;1,273;4,547;0,04;0;0,4;0;0;0,56;0,04;0,08;0,52;0,24;0,16;0;0;0,92;0,68;1;0;0;0;0,96;0,04;0,297;0,125;0,016;0,234;0,328;1,521;3,674;0,358;0,074;0,079;0,231;1,154;0,005;0,015;0,077;0;0;0;0,032;0,092;0,462;0,053;0,095;0,116;0,047;0,074;0,074;0,684;0,905;0,319;0,744;14,143;6,129;0;0;0;0;0;0;6,643;0,47;3,549;12,667;12,632;1,600;1,500;8,421;1,067;1,143;5,789;0,733;0,786;0,688;0,000;0,526;0,526;0,000;1,053;1,053;0,000;2,000;2,000;0,000;0,000;1,053;0,000;0,000;0,021;0,005;0,000;0,000;0,005;0,000;0,000;0,000;0,000;0,000;0,000;0,021;0,000;0,000;0,011;0,000;0,000;0,000;0,000;0,000;0,000;0,011;0,000;0,000;0,000;0,000;0,005;0,011;0,000;0,005;0,000;0,000;0,000;0,000;0,000;0,000;0,005;0,016;0,000;0,095;11;0,045;0,017;0,038;0,047;0,033;0,013;0,013;;5,825;2,546;0,186;0,508;0,546;267,738;8535,18;7,064;0,188;3,235;348,343;1832,263;6,147;0,186;3,949;420,093;3452,126;5,234;4,645;532,847;308,934;4,092;5,686;0,574;0,35;0,328;0,284;0,246;0,219;0,126;0,066;0,027;0,005;0,727;9,832;0,939;0,825;9,654;0,961;2,978;0,336;0,749;0,251;134,479;0,961;0,366;0,115;0,313;0,098;0,071;0,581;22,732;1,551;20,738;1,272;4,645;;Prosa;Geschichtsschreibung;informativ;Staat
Text_45;2,150;5,172;2,167;0,266;0,35;0,424;285,059;9846,951;7,552;0,24;3,433;406,144;1380,993;6,481;0,237;4,518;458,808;4467,355;5,46;5,069;628,151;255,094;3,953;6,64;0,576;0,448;0,374;0,315;0,261;0,187;0,133;0,084;0,044;0,015;0,67;9,545;0,925;0,82;9,669;0,96;2,172;0,46;0,685;0,315;140,469;0,937;0,217;0,281;1,295;0,222;0,084;0,726;13,882;1,372;11,768;1,097;4,916;0,322;0,254;0,356;0,034;0;0,034;0,61;0,644;0,085;0,203;0,017;0,034;0,017;0,356;0,153;0,746;0,186;0,068;0,254;0,915;0,085;0,195;0,122;0,049;0,366;0,268;1,596;3,493;0,360;0,054;0,167;0,829;1,214;0,094;0,463;0,679;0,034;0,171;0,25;0,059;0,293;0,429;0,03;0,044;0,108;0,005;0,005;0,015;0,375;0,463;0,768;0,595;7,464;3,274;0,526;0,393;0,067;0,144;0,022;0,048;2,536;0,34;2,768;4,833;11,330;0,548;1,150;9,852;0,476;0,714;6,404;0,310;0,464;0,650;6,897;0,000;6,897;12,315;0,000;12,315;1,786;0,000;1,786;0,493;0,071;0,000;0,000;0,005;0,030;0,005;0,000;0,000;0,000;0,000;0,000;0,000;0,010;0,000;0,000;0,005;0,000;0,000;0,000;0,005;0,000;0,005;0,005;0,000;0,010;0,000;0,000;0,000;0,020;0,010;0,010;0,015;0,010;0,000;0,000;0,000;0,000;0,000;0,000;0,015;0,020;0,000;0,005;0,158;16;0,070;0,000;0,023;0,056;0,102;0,000;0,039;;5,207;2,181;0,258;0,354;0,429;284,045;9842,899;7,551;0,242;3,419;403,338;1400,809;6,49;0,239;4,485;462,025;4331,581;5,418;5,096;629,926;254,919;3,923;6,654;0,576;0,444;0,369;0,313;0,258;0,182;0,136;0,086;0,045;0,015;0,672;9,452;0,925;0,816;9,518;0,959;2,194;0,456;0,687;0,313;137,469;0,936;0,223;0,284;1,273;0,222;0,086;0,721;14,131;1,393;11,975;1,11;4,995;;Poesie;Epos;narrativ;Liebe
Text_46;5,701;5,78;2,484;0,22;0,44;0,527;339,692;8473,275;6,779;2,773;3,967;452,677;1412,462;5,686;2,767;5;376,022;3390,604;5,346;4,187;483,631;341,446;4,122;5,154;0,604;0,495;0,473;0,407;0,297;0,275;0,198;0,154;0,099;0,066;0,824;7,862;0,957;0,908;7,318;0,977;2,5;0,4;0,714;0,286;74,828;0,96;0,275;0,165;0,6;0,11;0,088;0,556;16,989;1,615;13,835;1,231;2,945;0,167;0,167;0,417;0;0;0,25;0,333;0,583;0;0,333;0,083;0;0;0,417;0,083;0,667;0,333;0;0,333;1;0;0,118;0,412;0;0,118;0,353;1,374;3,440;0,275;0,165;0,154;0,778;3,5;0,055;0,278;1,25;0,044;0,222;1;0,022;0,111;0,5;0,011;0;0,011;0,011;0;0,011;0,314;0,397;0,143;0,392;46,5;6,067;0;0;0;0;0;0;9,5;0,204;5,209;15,167;12,088;1,833;1,222;9,890;1,500;4,500;6,593;1,000;3,000;0,667;5,495;1,099;6,593;6,593;3,297;9,890;1,200;3,000;1,500;1,099;0,167;4,396;0,000;0,000;0,011;0,011;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,011;0,000;0,000;0,011;0,000;0,000;0,022;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,033;0,011;0,022;0,033;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,033;0,165;9;0,043;0,000;0,020;0,076;0,239;0,000;0,026;;5,78;2,484;0,22;0,44;0,527;339,692;8473,275;6,779;2,773;3,967;452,677;1412,462;5,686;2,767;5;376,022;3390,604;5,346;4,187;483,631;341,446;4,122;5,154;0,604;0,495;0,473;0,407;0,297;0,275;0,198;0,154;0,099;0,066;0,824;7,862;0,957;0,908;7,318;0,977;2,5;0,4;0,714;0,286;74,828;0,96;0,275;0,165;0,6;0,11;0,088;0,556;16,989;1,615;13,835;1,231;2,945;;Prosa;Philosophie;systematisch;Leid
